,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.275180149078369,0.06138787079036613,0.1079946517944336,0.0012271612722191255,0,{1: 1},gini,5,,,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",6.638897080507225,5.879534060749042,6.528310232969625,6.182716413508332,7.517327827754019,6.549357123097648,0.5529043326674413,119,7.339821573398216,6.921403819214039,6.8965199439652,7.205920300807314,7.594831717477052,7.191699470972364,0.2626209016524758
1,4.7230946063995365,0.06957379615930918,0.12836723327636718,0.0037247999491126335,0,{1: 1},gini,5,,,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",6.672073134768505,5.912710115010322,6.778973754054851,6.027871995280932,7.565255861967262,6.5913769722163735,0.5946883347115812,118,7.354567573545676,7.0209393202093935,6.914952444149525,7.105466878018211,7.51373170641796,7.181931584468153,0.2204258276607318
2,6.155591821670532,0.12208246663172517,0.2066041946411133,0.04187187503998832,0,{1: 1},gini,5,,,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",6.5172515482158655,5.750516071955175,6.543055145974638,6.075800029494175,7.646364842943519,6.506597527716674,0.6415228524631748,120,7.233834697338347,6.928776819287768,6.968406694684067,7.074132782836289,7.538614664356545,7.1487531317006034,0.22168152800274102
3,2.9253418922424315,0.10247783472025641,0.12649641036987305,0.005566926720613718,0,{1: 1},gini,5,,10,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",6.620465939250958,5.9495723975228545,6.273960483633147,5.718183158826132,7.060168116796933,6.3244700192060055,0.47739888405376935,130,6.774865442748655,6.8928334439283345,6.00899506008995,6.497216795075017,6.6243963578722305,6.559661419942837,0.3061502089614292
4,4.4697541236877445,0.12983998367693111,0.12701048851013183,0.0013234235130666972,0,{1: 1},gini,5,,10,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 75}",6.661014450014745,5.875847832497788,6.23341197286936,5.743990561864032,6.437103672024775,6.19027369785414,0.34129607818999425,131,6.813573693135737,6.829241318292413,5.998857184988572,6.493530430935968,6.02075423010285,6.431191371491108,0.36439474591083304
5,5.908267784118652,0.045539639716778144,0.1878815174102783,0.05279119825651324,0,{1: 1},gini,5,,10,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",6.421409613683279,5.827926865231495,6.17811854910056,5.743990561864032,6.470284618787789,6.1283460417334314,0.29774699551374534,132,6.416353314163533,6.773022192730222,6.050468185504682,6.520256570944078,6.07420651011907,6.3668613546923165,0.2744804795746557
6,2.152173471450806,0.0615894319066372,0.11764316558837891,0.006830321146084162,0,{1: 1},gini,5,0.7,,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 50}",6.240784429371867,6.034355647301681,7.0517546446475965,6.344934375460847,7.598436808730276,6.654053181102453,0.5831633426055592,116,7.060569195605692,7.301113323011133,7.36839194868392,7.440926014671729,7.364433958786449,7.307086888151784,0.13097065699124152
7,3.2817780494689943,0.05175218894817353,0.14810776710510254,0.04001108614612261,0,{1: 1},gini,5,0.7,,1,75,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 75}",6.192863462105573,6.034355647301681,7.1512828074314365,6.274885710072261,7.5578823182421475,6.642253989030619,0.6006558527424529,117,7.193283196932832,7.300191698001917,7.444886824448869,7.472260109853651,7.427102149150293,7.367544795677512,0.10525940276641206
8,4.423865890502929,0.06626074985101993,0.20826711654663085,0.040354830800688725,0,{1: 1},gini,5,0.7,,1,100,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'n_estimators': 100}",6.35505750516072,5.879534060749042,7.125479209672663,6.407609497124318,7.720100280194662,6.697556110580281,0.6479582031162535,115,7.155496571554965,7.279915947799159,7.443965199439652,7.623401039554687,7.453828289158403,7.391321409501373,0.16035209035041603
9,2.1815517425537108,0.10613472602612872,0.115643310546875,0.00930056899615265,0,{1: 1},gini,5,0.7,10,1,50,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 5, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'n_estimators': 50}",5.9237687997640815,5.168092008257151,5.975375995281627,5.659194809025218,6.7836602271051465,5.902018367886645,0.5255012793147629,135,5.774902307749023,6.306679938066799,5.742645432426454,6.324879271574446,6.167287204630074,6.0632788308893595,0.2547404273602462
