,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.19870872497558595,0.00847864378598773,0.007991504669189454,0.00036710151526544256,0,{1: 1},gini,9,,,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",54850.0,43125.0,49575.0,44750.0,51150.0,48690.0,4272.546079330216,481,300600.0,289850.0,305325.0,305225.0,295650.0,299330.0,5928.182689492624
1,0.12208752632141114,0.0061214009202315125,0.007497119903564453,0.0002388373702259963,0,{1: 1},gini,9,,10,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",56275.0,45550.0,45550.0,46750.0,53000.0,49425.0,4402.04497932495,475,218225.0,208000.0,196500.0,214775.0,191775.0,205855.0,10226.893467715405
2,0.14696207046508789,0.007525662931848696,0.008149003982543946,0.0005128504252024037,0,{1: 1},gini,9,,20,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",58800.0,47425.0,58225.0,46750.0,58350.0,53910.0,5577.9162776076155,439,234350.0,219025.0,246975.0,214775.0,216275.0,226280.0,12478.04471862479
3,0.1602708339691162,0.00594080206736745,0.007780122756958008,0.0003086340947676801,0,{1: 1},gini,9,,40,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",54950.0,46025.0,57400.0,53125.0,57500.0,53800.0,4216.1297418367,445,235500.0,217750.0,257050.0,245925.0,239225.0,239090.0,12942.803019439027
4,0.1475611686706543,0.004759234659584424,0.00784130096435547,0.00019386637869243703,0,{1: 1},gini,9,0.7,,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",45400.0,53100.0,41650.0,50725.0,51925.0,48560.0,4344.093691438987,482,286650.0,311675.0,271300.0,292875.0,283625.0,289225.0,13241.006381691688
5,0.09574065208435059,0.0036118141851896424,0.007943296432495117,0.0004274499409020651,0,{1: 1},gini,9,0.7,10,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",56425.0,48425.0,45275.0,44425.0,53125.0,49535.0,4601.130295916429,463,214725.0,211775.0,193425.0,203500.0,201450.0,204975.0,7606.658267596882
6,0.10706195831298829,0.005054152716024111,0.008895683288574218,0.002675297973562347,0,{1: 1},gini,9,0.7,20,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",61650.0,48575.0,60475.0,51825.0,59775.0,56460.0,5247.894816019087,427,244975.0,216750.0,256325.0,238650.0,227300.0,236800.0,13738.495186882732
7,0.12206087112426758,0.007745093932211463,0.008064508438110352,0.00037582346471464606,0,{1: 1},gini,9,0.7,40,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 9, 'max_features': 0.7, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",57150.0,50450.0,54150.0,58500.0,60325.0,56115.0,3476.6938317890463,433,243725.0,242800.0,236250.0,265075.0,249025.0,247375.0,9736.850106682345
8,0.236266565322876,0.007030645069940708,0.008489704132080078,0.0002805696467297067,0,{1: 1},gini,11,,,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",50000.0,43650.0,46575.0,47475.0,47650.0,47070.0,2050.695004138841,508,370600.0,371825.0,372700.0,389350.0,355375.0,371970.0,10769.301277241713
9,0.11759214401245117,0.005338221380809629,0.007998514175415038,0.0006448046123925012,0,{1: 1},gini,11,,10,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 10, 'min_samples_leaf': 1, 'splitter': 'best'}",56275.0,45550.0,45550.0,46750.0,53000.0,49425.0,4402.04497932495,475,218225.0,208000.0,196500.0,214775.0,191775.0,205855.0,10226.893467715405
10,0.14487085342407227,0.007217178913219143,0.007893610000610351,0.0004961328375499061,0,{1: 1},gini,11,,20,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 20, 'min_samples_leaf': 1, 'splitter': 'best'}",58800.0,47425.0,58225.0,46750.0,58350.0,53910.0,5577.9162776076155,439,234350.0,219025.0,246975.0,214775.0,216275.0,226280.0,12478.04471862479
11,0.1545682430267334,0.002481439480043189,0.007870101928710937,0.0001999980670619424,0,{1: 1},gini,11,,40,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 11, 'max_features': None, 'max_leaf_nodes': 40, 'min_samples_leaf': 1, 'splitter': 'best'}",56075.0,46025.0,56375.0,57900.0,62725.0,55820.0,5446.475924852693,434,236975.0,217750.0,248325.0,261750.0,256050.0,244170.0,15602.815451065235
12,0.1674818515777588,0.004604980589860051,0.00823836326599121,0.0006612323997662341,0,{1: 1},gini,11,0.7,,1,best,"{'ccp_alpha': 0, 'class_weight': {1: 1}, 'criterion': 'gini', 'max_depth': 11, 'max_features': 0.7, 'max_leaf_nodes': None, 'min_samples_leaf': 1, 'splitter': 'best'}",44250.0,53050.0,38300.0,43800.0,39775.0,43835.0,5142.168803141336,518,361625.0,379675.0,336675.0,355275.0,329100.0,352470.0,18041.247185269647
